2025-08-13 21:40:18.676238,ATS classic HR resume.docx,ATS classic HR resume - Copy.docx,100.0,"able, achieve, action, activities, acumen, administrative, affirmative, analytics, arranged, art, arts, assisted, assisting, august, available, bachelor, benefit, boomtown, build, building, business, chicago, communication, company, compliance, conducted, confidence, conflict, conservation, costs, creating, data, dedicated, department, departments, deploy, developed, development, driven, educate, education, efficiencies, employee, employees, employment, ensure, environment, environmental, excellent, experience, federal, fl, ft, fulfilling, gardner, generalist, gpa, greater, guest, healthcare, high, highly, hiring, honor, hospital, hr, human, illinois, improve, increase, independently, intern, janna, jasper, june, labor, lamna, lauderdale, laws, lead, led, literature, local, main, maintaining, management, meet, member, minority, minute, morale, motivated, needs, negotiating, new, ohio, options, organization, organized, osha, outreach, period, personal, personnel, player, policies, positive, practices, present, proficient, programs, project, prospective, proven, public, quality, raised, rates, record, recruit, recruitment, reduced, regulations, requirements, resources, responsive, retention, review, revise, self, seminars, skiing, skills, society, software, speakers, speaking, staffing, state, street, strong, successfully, symposia, tasks, team, techniques, time, track, travel, type, university, update, vacation, website, wholeness, wide, words, work, workplace, year, years, yoga"
2025-08-13 21:42:15.845295,ATS classic HR resume.docx,ATS classic HR resume - Copy.docx,98.11,"able, acumen, art, assisting, business, chicago, communication, conservation, department, departments, driven, efficiencies, excellent, experience, fulfilling, gardner, generalist, high, highly, hr, human, illinois, improve, independently, janna, lead, main, motivated, needs, negotiating, organization, personal, personnel, player, proven, quality, record, recruit, requirements, resources, self, skiing, skills, staffing, street, strong, team, track, travel, work, years, yoga"
2025-08-13 21:43:31.976866,ATS classic HR resume.docx,ATS classic HR resume - Copy.docx,83.33,"art, conservation, skiing, travel, yoga"
2025-08-13 21:44:26.330458,ATS classic HR resume.docx,ATS classic HR resume - Copy.docx,83.33,"art, conservation, skiing, travel, yoga"
2025-08-13 21:48:43.348241,ATS classic HR resume.docx,ATS classic HR resume - Copy.docx,83.33,"art, conservation, skiing, travel, yoga",ntal
2025-08-13 21:49:22.451662,ATS classic HR resume.docx,ATS classic HR resume - Copy.docx,83.33,"art, conservation, skiing, travel, yoga",ntal
2025-08-13 21:53:52.789287,ATS classic HR resume.docx,ATS classic HR resume - Copy.docx,83.33,"art, conservation, skiing, travel, yoga",ntal
2025-08-13 21:54:32.890507,ATS classic HR resume.docx,ATS classic HR resume - Copy.docx,83.33,"art, conservation, skiing, travel, yoga",ntal
2025-08-13 22:06:24.961995,ATS classic HR resume.docx,ATS classic HR resume - Copy.docx,83.33,"art, conservation, skiing, travel, yoga",ntal
2025-08-13 22:06:31.453273,ATS classic HR resume.docx,ATS classic HR resume - Copy.docx,83.33,"art, conservation, skiing, travel, yoga",ntal
2025-08-13 22:11:50.796834,ATS classic HR resume.docx,ATS classic HR resume - Copy.docx,83.33,"art, conservation, skiing, travel, yoga",ntal
2025-08-13 22:12:02.713488,ATS classic HR resume.docx,ATS classic HR resume - Copy.docx,83.33,"art, conservation, skiing, travel, yoga",ntal
2025-08-13 22:12:18.202971,ATS classic HR resume.docx,ATS classic HR resume - Copy.docx,83.33,"art, conservation, skiing, travel, yoga",ntal
2025-08-13 22:12:51.154647,ATS classic HR resume.docx,ATS classic HR resume - Copy.docx,83.33,"art, conservation, skiing, travel, yoga",ntal
2025-08-13 22:13:17.475734,ATS classic HR resume.docx,ATS classic HR resume - Copy.docx,83.33,"art, conservation, skiing, travel, yoga",ntal
2025-08-13 22:13:45.583476,ATS classic HR resume - Copy.docx,ATS classic HR resume - Copy.docx,100.0,"art, conservation, ntal, skiing, travel, yoga",
